Experiment	Oscilloscope	
66.6667E-3	-109.224E-9
70.0000E-3	-109.224E-9
73.3333E-3	-109.225E-9
76.6667E-3	-109.225E-9
80.0000E-3	-109.225E-9
83.3333E-3	-109.225E-9
86.6667E-3	-109.225E-9
90.0000E-3	-109.225E-9
93.3333E-3	-109.225E-9
96.6667E-3	-109.225E-9
100.000E-3	-109.225E-9
103.333E-3	-109.225E-9
106.667E-3	-109.225E-9
110.000E-3	-109.225E-9
113.333E-3	-109.224E-9
116.667E-3	-109.224E-9
120.000E-3	-109.224E-9
123.333E-3	-109.225E-9
126.667E-3	-109.224E-9
130.000E-3	-109.224E-9
133.333E-3	-109.224E-9
136.667E-3	-109.224E-9
140.000E-3	-109.224E-9
143.333E-3	-109.224E-9
146.667E-3	-109.223E-9
150.000E-3	-109.222E-9
153.333E-3	-109.222E-9
156.667E-3	-109.222E-9
160.000E-3	-109.223E-9
163.333E-3	-109.223E-9
166.667E-3	-109.222E-9
170.000E-3	-109.222E-9
173.333E-3	-109.222E-9
176.667E-3	-109.222E-9
180.000E-3	-109.223E-9
183.333E-3	-109.223E-9
186.667E-3	-109.222E-9
190.000E-3	-109.222E-9
193.333E-3	-109.223E-9
196.667E-3	-109.223E-9
200.000E-3	-109.224E-9
203.333E-3	-109.224E-9
206.667E-3	-109.224E-9
210.000E-3	-109.224E-9
213.333E-3	-109.224E-9
216.667E-3	-109.224E-9
220.000E-3	-109.224E-9
223.333E-3	-109.224E-9
226.667E-3	-109.224E-9
230.000E-3	-109.224E-9
233.333E-3	-109.224E-9
236.667E-3	-109.224E-9
240.000E-3	-109.224E-9
243.333E-3	-109.224E-9
246.667E-3	-109.223E-9
250.000E-3	-109.223E-9
253.333E-3	-109.222E-9
256.667E-3	-109.222E-9
260.000E-3	-109.222E-9
263.333E-3	-109.222E-9
266.667E-3	-109.221E-9
270.000E-3	-109.221E-9
273.333E-3	-109.221E-9
276.667E-3	-109.221E-9
280.000E-3	-109.221E-9
283.333E-3	-109.221E-9
286.667E-3	-109.221E-9
290.000E-3	-109.221E-9
293.333E-3	-109.221E-9
296.667E-3	-109.222E-9
300.000E-3	-109.222E-9
303.333E-3	-109.222E-9
306.667E-3	-109.222E-9
310.000E-3	-109.222E-9
313.333E-3	-109.223E-9
316.667E-3	-109.223E-9
320.000E-3	-109.223E-9
323.333E-3	-109.223E-9
326.667E-3	-109.223E-9
330.000E-3	-109.223E-9
333.333E-3	-109.223E-9
336.667E-3	-109.223E-9
340.000E-3	-109.223E-9
343.333E-3	-109.223E-9
346.667E-3	-109.223E-9
350.000E-3	-109.223E-9
353.333E-3	-109.223E-9
356.667E-3	-109.223E-9
360.000E-3	-109.223E-9
363.333E-3	-109.223E-9
366.667E-3	-109.222E-9
370.000E-3	-109.222E-9
373.333E-3	-109.222E-9
376.667E-3	-109.222E-9
380.000E-3	-109.222E-9
383.333E-3	-109.222E-9
386.667E-3	-109.222E-9
390.000E-3	-109.222E-9
393.333E-3	-109.222E-9
396.667E-3	-109.222E-9
400.000E-3	-109.223E-9
403.333E-3	-109.223E-9
406.667E-3	-109.222E-9
410.000E-3	-109.222E-9
413.333E-3	-109.223E-9
416.667E-3	-109.223E-9
420.000E-3	-109.224E-9
423.333E-3	-109.223E-9
426.667E-3	-109.223E-9
430.000E-3	-109.223E-9
433.333E-3	-109.224E-9
436.667E-3	-109.225E-9
440.000E-3	-109.225E-9
443.333E-3	-109.225E-9
446.667E-3	-109.225E-9
450.000E-3	-109.225E-9
453.333E-3	-109.225E-9
456.667E-3	-109.225E-9
460.000E-3	-109.225E-9
463.333E-3	-109.225E-9
466.667E-3	-109.225E-9
470.000E-3	-109.226E-9
473.333E-3	-109.226E-9
476.667E-3	-109.225E-9
480.000E-3	-109.225E-9
483.333E-3	-109.225E-9
486.667E-3	-109.225E-9
490.000E-3	-109.224E-9
493.333E-3	-109.224E-9
496.667E-3	-109.224E-9
500.000E-3	-109.224E-9
503.333E-3	-109.224E-9
506.667E-3	-109.223E-9
510.000E-3	-109.223E-9
513.333E-3	-109.223E-9
516.667E-3	-109.223E-9
520.000E-3	-109.224E-9
523.333E-3	-109.223E-9
526.667E-3	-109.223E-9
530.000E-3	-109.223E-9
533.333E-3	-109.224E-9
536.667E-3	-109.224E-9
540.000E-3	-109.225E-9
543.333E-3	-109.224E-9
546.667E-3	-109.225E-9
550.000E-3	-109.225E-9
553.333E-3	-109.225E-9
556.667E-3	-109.225E-9
560.000E-3	-109.225E-9
563.333E-3	-109.225E-9
566.667E-3	-109.225E-9
570.000E-3	-109.225E-9
573.333E-3	-109.225E-9
576.667E-3	-109.225E-9
580.000E-3	-109.225E-9
583.333E-3	-109.225E-9
586.667E-3	-109.224E-9
590.000E-3	-109.224E-9
593.333E-3	-109.224E-9
596.667E-3	-109.224E-9
600.000E-3	-109.224E-9
603.333E-3	-109.224E-9
606.667E-3	-109.224E-9
610.000E-3	-109.223E-9
613.333E-3	-109.224E-9
616.667E-3	-109.224E-9
620.000E-3	-109.224E-9
623.333E-3	-109.224E-9
626.667E-3	-109.224E-9
630.000E-3	-109.224E-9
633.333E-3	-109.224E-9
636.667E-3	-109.224E-9
640.000E-3	-109.224E-9
643.333E-3	-109.224E-9
646.667E-3	-109.224E-9
650.000E-3	-109.224E-9
653.333E-3	-109.224E-9
656.667E-3	-109.224E-9
660.000E-3	-109.224E-9
663.333E-3	-109.224E-9
666.667E-3	-109.224E-9
670.000E-3	-109.225E-9
673.333E-3	-109.225E-9
676.667E-3	-109.225E-9
680.000E-3	-109.225E-9
683.333E-3	-109.224E-9
686.667E-3	-109.224E-9
690.000E-3	-109.225E-9
693.333E-3	-109.225E-9
696.667E-3	-109.225E-9
700.000E-3	-109.225E-9
703.333E-3	-109.224E-9
706.667E-3	-109.224E-9
710.000E-3	-109.225E-9
713.333E-3	-109.225E-9
716.667E-3	-109.225E-9
720.000E-3	-109.225E-9
723.333E-3	-109.225E-9
726.667E-3	-109.225E-9
730.000E-3	-109.225E-9
733.333E-3	-109.225E-9
736.667E-3	-109.225E-9
740.000E-3	-109.225E-9
743.333E-3	-109.225E-9
746.667E-3	-109.225E-9
750.000E-3	-109.225E-9
753.333E-3	-109.225E-9
756.667E-3	-109.225E-9
760.000E-3	-109.225E-9
763.333E-3	-109.225E-9
766.667E-3	-109.224E-9
770.000E-3	-109.224E-9
773.333E-3	-109.224E-9
776.667E-3	-109.224E-9
780.000E-3	-109.225E-9
783.333E-3	-109.225E-9
786.667E-3	-109.225E-9
790.000E-3	-109.225E-9
793.333E-3	-109.225E-9
796.667E-3	-109.226E-9
800.000E-3	-109.226E-9
803.333E-3	-109.226E-9
806.667E-3	-109.226E-9
810.000E-3	-109.226E-9
813.333E-3	-109.227E-9
816.667E-3	-109.227E-9
820.000E-3	-109.227E-9
823.333E-3	-109.227E-9
826.667E-3	-109.226E-9
830.000E-3	-109.227E-9
833.333E-3	-109.227E-9
836.667E-3	-109.227E-9
840.000E-3	-109.226E-9
843.333E-3	-109.226E-9
846.667E-3	-109.226E-9
850.000E-3	-109.226E-9
