Experiment	Frequency Sweep	
Date	17.02.2021 13:15:05	
User		
f_res (Hz)	21473,9993	
Q	1762	
Phase (deg)	-126,26	
Amp/Exc (nm/mV)	0,882419	
Number of points	2000	
Fit length	11	

[DATA]
Frequency Shift (Hz)	Center Frequency (Hz)	Amplitude (m)	Phase (deg)
-46.1458E+0	21.4915E+3	17.1940E-9	90.3687E+0
-46.0695E+0	21.4915E+3	16.7799E-9	92.0405E+0
-45.9931E+0	21.4915E+3	17.2231E-9	90.2800E+0
-45.9168E+0	21.4915E+3	17.1176E-9	93.4507E+0
-45.8405E+0	21.4915E+3	17.7316E-9	90.6580E+0
-45.7641E+0	21.4915E+3	16.9948E-9	93.1968E+0
-45.6878E+0	21.4915E+3	16.9854E-9	88.7475E+0
-45.6114E+0	21.4915E+3	15.7911E-9	83.9458E+0
-45.5351E+0	21.4915E+3	17.1251E-9	89.6213E+0
-45.4588E+0	21.4915E+3	18.8946E-9	87.7838E+0
-45.3824E+0	21.4915E+3	18.2407E-9	88.7629E+0
-45.3061E+0	21.4915E+3	17.9527E-9	88.2265E+0
-45.2297E+0	21.4915E+3	18.1275E-9	90.1068E+0
-45.1534E+0	21.4915E+3	16.0515E-9	93.8787E+0
-45.0771E+0	21.4915E+3	17.4764E-9	91.4895E+0
-45.0007E+0	21.4915E+3	17.9096E-9	90.0035E+0
-44.9244E+0	21.4915E+3	16.7839E-9	92.7424E+0
-44.8480E+0	21.4915E+3	17.1891E-9	90.5870E+0
-44.7717E+0	21.4915E+3	18.3819E-9	94.1253E+0
-44.6954E+0	21.4915E+3	18.9253E-9	90.5731E+0
-44.6190E+0	21.4915E+3	17.7833E-9	95.4742E+0
-44.5427E+0	21.4915E+3	17.1364E-9	91.9162E+0
-44.4663E+0	21.4915E+3	16.4897E-9	94.6339E+0
-44.3900E+0	21.4915E+3	18.3656E-9	92.9114E+0
-44.3137E+0	21.4915E+3	18.2289E-9	91.2647E+0
-44.2373E+0	21.4915E+3	18.5483E-9	91.5565E+0
-44.1610E+0	21.4915E+3	17.5814E-9	99.2895E+0
-44.0846E+0	21.4915E+3	18.1215E-9	93.4525E+0
-44.0083E+0	21.4915E+3	17.9143E-9	90.7042E+0
-43.9320E+0	21.4915E+3	18.2617E-9	91.5347E+0
-43.8556E+0	21.4915E+3	18.2789E-9	97.0438E+0
-43.7793E+0	21.4915E+3	17.0207E-9	96.1907E+0
-43.7029E+0	21.4915E+3	18.4871E-9	96.3909E+0
-43.6266E+0	21.4915E+3	18.2262E-9	88.9885E+0
-43.5503E+0	21.4915E+3	16.8903E-9	89.5831E+0
-43.4739E+0	21.4915E+3	17.9746E-9	89.5126E+0
-43.3976E+0	21.4915E+3	18.0927E-9	93.0231E+0
-43.3212E+0	21.4915E+3	18.4664E-9	94.9378E+0
-43.2449E+0	21.4915E+3	17.3728E-9	91.1427E+0
-43.1686E+0	21.4915E+3	18.7017E-9	92.7488E+0
-43.0922E+0	21.4915E+3	17.2450E-9	90.0351E+0
-43.0159E+0	21.4915E+3	17.3529E-9	90.9490E+0
-42.9395E+0	21.4915E+3	17.8149E-9	92.7962E+0
-42.8632E+0	21.4915E+3	18.0516E-9	94.6605E+0
-42.7869E+0	21.4915E+3	18.3099E-9	96.2462E+0
-42.7105E+0	21.4915E+3	17.5935E-9	97.7413E+0
-42.6342E+0	21.4915E+3	16.9040E-9	92.6482E+0
-42.5578E+0	21.4915E+3	19.1984E-9	96.9925E+0
-42.4815E+0	21.4915E+3	18.5200E-9	96.9391E+0
-42.4052E+0	21.4915E+3	17.9368E-9	94.8630E+0
-42.3288E+0	21.4915E+3	17.4217E-9	91.9289E+0
-42.2525E+0	21.4915E+3	17.2119E-9	95.2449E+0
-42.1761E+0	21.4915E+3	18.2416E-9	95.4558E+0
-42.0998E+0	21.4915E+3	18.5391E-9	97.1846E+0
-42.0235E+0	21.4915E+3	17.7702E-9	96.9949E+0
-41.9471E+0	21.4915E+3	18.5457E-9	94.3936E+0
-41.8708E+0	21.4915E+3	18.5358E-9	96.0741E+0
-41.7944E+0	21.4915E+3	18.5032E-9	95.5976E+0
-41.7181E+0	21.4915E+3	19.2470E-9	97.8485E+0
-41.6418E+0	21.4915E+3	18.6715E-9	96.6572E+0
-41.5654E+0	21.4915E+3	18.5804E-9	97.4692E+0
-41.4891E+0	21.4915E+3	18.0575E-9	97.7133E+0
-41.4128E+0	21.4915E+3	18.5528E-9	95.4459E+0
-41.3364E+0	21.4915E+3	18.8530E-9	97.6110E+0
-41.2601E+0	21.4915E+3	19.2636E-9	104.253E+0
-41.1837E+0	21.4915E+3	18.1414E-9	94.2027E+0
-41.1074E+0	21.4915E+3	19.9306E-9	98.5187E+0
-41.0311E+0	21.4915E+3	18.1191E-9	91.3499E+0
-40.9547E+0	21.4915E+3	20.5408E-9	96.2269E+0
-40.8784E+0	21.4915E+3	19.2202E-9	97.2866E+0
-40.8020E+0	21.4915E+3	17.8398E-9	93.0840E+0
-40.7257E+0	21.4915E+3	19.1005E-9	95.8547E+0
-40.6494E+0	21.4915E+3	18.8414E-9	100.790E+0
-40.5730E+0	21.4915E+3	19.6441E-9	96.7959E+0
-40.4967E+0	21.4915E+3	19.7824E-9	95.2894E+0
-40.4203E+0	21.4915E+3	18.2377E-9	97.0854E+0
-40.3440E+0	21.4915E+3	19.3480E-9	99.8887E+0
-40.2677E+0	21.4915E+3	19.7804E-9	95.8704E+0
-40.1913E+0	21.4915E+3	19.8543E-9	99.6407E+0
-40.1150E+0	21.4915E+3	19.3715E-9	103.361E+0
-40.0386E+0	21.4915E+3	19.8048E-9	100.265E+0
-39.9623E+0	21.4915E+3	21.1628E-9	99.4174E+0
-39.8860E+0	21.4915E+3	20.9409E-9	102.625E+0
-39.8096E+0	21.4915E+3	19.5900E-9	101.570E+0
-39.7333E+0	21.4915E+3	19.9462E-9	97.4684E+0
-39.6569E+0	21.4915E+3	19.8501E-9	98.8429E+0
-39.5806E+0	21.4915E+3	20.9176E-9	99.1068E+0
-39.5043E+0	21.4915E+3	19.7392E-9	100.921E+0
-39.4279E+0	21.4915E+3	20.8784E-9	100.679E+0
-39.3516E+0	21.4915E+3	20.1803E-9	99.3747E+0
-39.2752E+0	21.4915E+3	20.6205E-9	101.838E+0
-39.1989E+0	21.4915E+3	20.4679E-9	101.843E+0
-39.1226E+0	21.4915E+3	20.2471E-9	102.049E+0
-39.0462E+0	21.4915E+3	20.8720E-9	102.238E+0
-38.9699E+0	21.4915E+3	20.8129E-9	99.7865E+0
-38.8935E+0	21.4915E+3	20.6273E-9	107.265E+0
-38.8172E+0	21.4915E+3	21.6582E-9	102.487E+0
-38.7409E+0	21.4915E+3	19.5407E-9	97.9491E+0
-38.6645E+0	21.4915E+3	20.4984E-9	100.629E+0
-38.5882E+0	21.4915E+3	19.8863E-9	103.623E+0
-38.5118E+0	21.4915E+3	21.7224E-9	100.404E+0
-38.4355E+0	21.4915E+3	20.6425E-9	103.579E+0
-38.3592E+0	21.4915E+3	19.5668E-9	100.993E+0
-38.2828E+0	21.4915E+3	20.6901E-9	98.9178E+0
-38.2065E+0	21.4915E+3	20.8387E-9	104.310E+0
-38.1301E+0	21.4915E+3	20.7881E-9	102.606E+0
-38.0538E+0	21.4915E+3	21.2678E-9	103.572E+0
-37.9775E+0	21.4915E+3	22.2792E-9	100.203E+0
-37.9011E+0	21.4915E+3	20.8414E-9	104.386E+0
-37.8248E+0	21.4915E+3	20.7913E-9	103.758E+0
-37.7484E+0	21.4915E+3	22.1227E-9	99.2005E+0
-37.6721E+0	21.4915E+3	20.5559E-9	99.4715E+0
-37.5958E+0	21.4915E+3	20.8136E-9	99.1305E+0
-37.5194E+0	21.4915E+3	22.4424E-9	102.984E+0
-37.4431E+0	21.4915E+3	20.6833E-9	107.849E+0
-37.3667E+0	21.4915E+3	20.5795E-9	98.6811E+0
-37.2904E+0	21.4915E+3	21.1291E-9	104.732E+0
-37.2141E+0	21.4915E+3	21.4456E-9	101.395E+0
-37.1377E+0	21.4915E+3	20.8373E-9	103.469E+0
-37.0614E+0	21.4915E+3	22.5353E-9	106.011E+0
-36.9850E+0	21.4915E+3	21.1825E-9	103.891E+0
-36.9087E+0	21.4915E+3	22.4885E-9	107.598E+0
-36.8324E+0	21.4915E+3	23.0190E-9	97.1160E+0
-36.7560E+0	21.4915E+3	22.5841E-9	102.879E+0
-36.6797E+0	21.4915E+3	21.8753E-9	104.619E+0
-36.6033E+0	21.4915E+3	22.7815E-9	105.819E+0
-36.5270E+0	21.4915E+3	21.8395E-9	104.578E+0
-36.4507E+0	21.4915E+3	23.2594E-9	104.386E+0
-36.3743E+0	21.4915E+3	22.5337E-9	101.458E+0
-36.2980E+0	21.4915E+3	23.3645E-9	104.088E+0
-36.2216E+0	21.4915E+3	23.1496E-9	105.400E+0
-36.1453E+0	21.4915E+3	23.4505E-9	102.866E+0
-36.0690E+0	21.4915E+3	23.6259E-9	104.058E+0
-35.9926E+0	21.4915E+3	24.1370E-9	103.656E+0
-35.9163E+0	21.4915E+3	23.7200E-9	105.869E+0
-35.8400E+0	21.4915E+3	22.3374E-9	105.530E+0
-35.7636E+0	21.4915E+3	24.8713E-9	107.033E+0
-35.6873E+0	21.4915E+3	23.2873E-9	106.253E+0
-35.6109E+0	21.4915E+3	22.8912E-9	106.473E+0
-35.5346E+0	21.4915E+3	23.8496E-9	105.059E+0
-35.4583E+0	21.4915E+3	24.3459E-9	106.569E+0
-35.3819E+0	21.4915E+3	23.9549E-9	104.127E+0
-35.3056E+0	21.4915E+3	23.1049E-9	106.211E+0
-35.2292E+0	21.4915E+3	23.3140E-9	106.671E+0
-35.1529E+0	21.4915E+3	24.7383E-9	102.524E+0
-35.0766E+0	21.4915E+3	23.8667E-9	103.118E+0
-35.0002E+0	21.4915E+3	25.1749E-9	105.586E+0
-34.9239E+0	21.4915E+3	24.7635E-9	107.585E+0
-34.8475E+0	21.4915E+3	24.4170E-9	107.509E+0
-34.7712E+0	21.4915E+3	26.5386E-9	108.437E+0
-34.6949E+0	21.4915E+3	25.2418E-9	105.039E+0
-34.6185E+0	21.4915E+3	24.2492E-9	106.381E+0
-34.5422E+0	21.4915E+3	25.0440E-9	107.378E+0
-34.4658E+0	21.4915E+3	24.6729E-9	107.495E+0
-34.3895E+0	21.4915E+3	24.7850E-9	106.126E+0
-34.3132E+0	21.4915E+3	26.3371E-9	105.215E+0
-34.2368E+0	21.4915E+3	24.8155E-9	104.487E+0
-34.1605E+0	21.4915E+3	26.0278E-9	106.279E+0
-34.0841E+0	21.4915E+3	26.3028E-9	107.775E+0
-34.0078E+0	21.4915E+3	24.9512E-9	109.638E+0
-33.9315E+0	21.4915E+3	26.5906E-9	107.128E+0
-33.8551E+0	21.4915E+3	25.7541E-9	106.744E+0
-33.7788E+0	21.4915E+3	26.8312E-9	107.581E+0
-33.7024E+0	21.4915E+3	27.1456E-9	107.320E+0
-33.6261E+0	21.4915E+3	27.4616E-9	106.400E+0
-33.5498E+0	21.4915E+3	27.1287E-9	109.168E+0
-33.4734E+0	21.4915E+3	27.2869E-9	108.235E+0
-33.3971E+0	21.4915E+3	27.2104E-9	108.366E+0
-33.3207E+0	21.4915E+3	27.5680E-9	108.337E+0
-33.2444E+0	21.4915E+3	27.2814E-9	111.220E+0
-33.1681E+0	21.4915E+3	29.2756E-9	108.170E+0
-33.0917E+0	21.4915E+3	29.2994E-9	109.480E+0
-33.0154E+0	21.4915E+3	28.9175E-9	107.397E+0
-32.9390E+0	21.4915E+3	28.8724E-9	106.898E+0
-32.8627E+0	21.4915E+3	28.6203E-9	105.092E+0
-32.7864E+0	21.4915E+3	28.4093E-9	106.740E+0
-32.7100E+0	21.4915E+3	28.3439E-9	108.660E+0
-32.6337E+0	21.4915E+3	29.4148E-9	107.575E+0
-32.5573E+0	21.4915E+3	27.2370E-9	104.414E+0
-32.4810E+0	21.4915E+3	30.3722E-9	110.139E+0
-32.4047E+0	21.4915E+3	29.9295E-9	108.255E+0
-32.3283E+0	21.4915E+3	29.1877E-9	107.727E+0
-32.2520E+0	21.4915E+3	28.7664E-9	108.843E+0
-32.1756E+0	21.4915E+3	30.0669E-9	107.348E+0
-32.0993E+0	21.4915E+3	29.3901E-9	110.447E+0
-32.0230E+0	21.4915E+3	29.6034E-9	107.906E+0
-31.9466E+0	21.4915E+3	29.8325E-9	106.438E+0
-31.8703E+0	21.4915E+3	29.1495E-9	110.384E+0
-31.7940E+0	21.4915E+3	29.8228E-9	109.778E+0
-31.7176E+0	21.4915E+3	31.6978E-9	109.545E+0
-31.6413E+0	21.4915E+3	30.3754E-9	106.814E+0
-31.5649E+0	21.4915E+3	30.3858E-9	109.739E+0
-31.4886E+0	21.4915E+3	31.2276E-9	108.145E+0
-31.4123E+0	21.4915E+3	31.6005E-9	108.653E+0
-31.3359E+0	21.4915E+3	28.9567E-9	108.091E+0
-31.2596E+0	21.4915E+3	30.9777E-9	111.685E+0
-31.1832E+0	21.4915E+3	31.2175E-9	110.878E+0
-31.1069E+0	21.4915E+3	31.4431E-9	112.789E+0
-31.0306E+0	21.4915E+3	31.9559E-9	108.587E+0
-30.9542E+0	21.4915E+3	32.1864E-9	108.760E+0
-30.8779E+0	21.4915E+3	32.3920E-9	109.836E+0
-30.8016E+0	21.4915E+3	31.9112E-9	110.849E+0
-30.7252E+0	21.4915E+3	32.0023E-9	112.367E+0
-30.6489E+0	21.4915E+3	32.9340E-9	107.894E+0
-30.5725E+0	21.4915E+3	33.6778E-9	108.368E+0
-30.4962E+0	21.4915E+3	32.1200E-9	109.175E+0
-30.4199E+0	21.4915E+3	33.5365E-9	106.934E+0
-30.3435E+0	21.4915E+3	33.9377E-9	111.876E+0
-30.2672E+0	21.4915E+3	34.9128E-9	108.926E+0
-30.1909E+0	21.4915E+3	33.0631E-9	112.330E+0
-30.1145E+0	21.4915E+3	33.4061E-9	109.378E+0
-30.0382E+0	21.4915E+3	35.2021E-9	107.577E+0
-29.9618E+0	21.4915E+3	33.8839E-9	110.689E+0
-29.8855E+0	21.4915E+3	33.7534E-9	110.757E+0
-29.8092E+0	21.4915E+3	35.2902E-9	106.936E+0
-29.7328E+0	21.4915E+3	34.2338E-9	106.814E+0
-29.6565E+0	21.4915E+3	35.6292E-9	108.722E+0
-29.5802E+0	21.4915E+3	34.8784E-9	107.074E+0
-29.5038E+0	21.4915E+3	36.0927E-9	109.303E+0
-29.4275E+0	21.4915E+3	35.4381E-9	107.244E+0
-29.3511E+0	21.4915E+3	36.1716E-9	111.118E+0
-29.2748E+0	21.4915E+3	36.6013E-9	111.145E+0
-29.1985E+0	21.4915E+3	36.7839E-9	108.139E+0
-29.1221E+0	21.4915E+3	37.2860E-9	110.260E+0
-29.0458E+0	21.4915E+3	37.7991E-9	107.916E+0
-28.9695E+0	21.4915E+3	39.1045E-9	108.580E+0
-28.8931E+0	21.4915E+3	37.2094E-9	110.792E+0
-28.8168E+0	21.4915E+3	38.1727E-9	109.826E+0
-28.7404E+0	21.4915E+3	35.9714E-9	107.403E+0
-28.6641E+0	21.4915E+3	38.3354E-9	109.651E+0
-28.5878E+0	21.4915E+3	37.1008E-9	110.423E+0
-28.5114E+0	21.4915E+3	39.7378E-9	110.108E+0
-28.4351E+0	21.4915E+3	38.4558E-9	109.520E+0
-28.3587E+0	21.4915E+3	37.6701E-9	110.208E+0
-28.2824E+0	21.4915E+3	39.2361E-9	110.521E+0
-28.2061E+0	21.4915E+3	39.6935E-9	111.814E+0
-28.1297E+0	21.4915E+3	39.5180E-9	110.411E+0
-28.0534E+0	21.4915E+3	41.5352E-9	107.883E+0
-27.9771E+0	21.4915E+3	40.6704E-9	109.658E+0
-27.9007E+0	21.4915E+3	41.1289E-9	110.459E+0
-27.8244E+0	21.4915E+3	39.9823E-9	109.720E+0
-27.7480E+0	21.4915E+3	41.1934E-9	108.468E+0
-27.6717E+0	21.4915E+3	40.5645E-9	110.749E+0
-27.5954E+0	21.4915E+3	41.5302E-9	110.496E+0
-27.5190E+0	21.4915E+3	42.0138E-9	108.342E+0
-27.4427E+0	21.4915E+3	41.4644E-9	110.052E+0
-27.3664E+0	21.4915E+3	42.3493E-9	106.933E+0
-27.2900E+0	21.4915E+3	40.7199E-9	109.175E+0
-27.2137E+0	21.4915E+3	42.9388E-9	108.842E+0
-27.1373E+0	21.4915E+3	41.5159E-9	106.934E+0
-27.0610E+0	21.4915E+3	43.1366E-9	110.378E+0
-26.9847E+0	21.4915E+3	42.7282E-9	106.883E+0
-26.9083E+0	21.4915E+3	43.3615E-9	108.742E+0
-26.8320E+0	21.4915E+3	45.7046E-9	109.096E+0
-26.7557E+0	21.4915E+3	43.9638E-9	106.559E+0
-26.6793E+0	21.4915E+3	45.3164E-9	105.733E+0
-26.6030E+0	21.4915E+3	46.8607E-9	106.927E+0
-26.5266E+0	21.4915E+3	45.1682E-9	106.089E+0
-26.4503E+0	21.4915E+3	47.8620E-9	106.374E+0
-26.3740E+0	21.4915E+3	46.4569E-9	106.713E+0
-26.2976E+0	21.4915E+3	47.7449E-9	107.133E+0
-26.2213E+0	21.4915E+3	46.6317E-9	107.645E+0
-26.1450E+0	21.4915E+3	49.1936E-9	105.292E+0
-26.0686E+0	21.4915E+3	48.5372E-9	105.983E+0
-25.9923E+0	21.4915E+3	48.7513E-9	105.861E+0
-25.9159E+0	21.4915E+3	48.6912E-9	104.857E+0
-25.8396E+0	21.4915E+3	49.9125E-9	105.786E+0
-25.7633E+0	21.4915E+3	48.8179E-9	104.524E+0
-25.6869E+0	21.4915E+3	51.7014E-9	105.185E+0
-25.6106E+0	21.4915E+3	50.8087E-9	103.983E+0
-25.5343E+0	21.4915E+3	51.2375E-9	106.247E+0
-25.4579E+0	21.4915E+3	52.2112E-9	102.860E+0
-25.3816E+0	21.4915E+3	52.9171E-9	102.489E+0
-25.3052E+0	21.4915E+3	53.7522E-9	104.221E+0
-25.2289E+0	21.4915E+3	51.5158E-9	102.982E+0
-25.1526E+0	21.4915E+3	54.2413E-9	100.130E+0
-25.0762E+0	21.4915E+3	53.9443E-9	102.617E+0
-24.9999E+0	21.4915E+3	54.4677E-9	102.202E+0
-24.9235E+0	21.4915E+3	53.8525E-9	103.645E+0
-24.8472E+0	21.4915E+3	55.5593E-9	103.123E+0
-24.7709E+0	21.4915E+3	57.0203E-9	101.935E+0
-24.6945E+0	21.4915E+3	56.1747E-9	102.916E+0
-24.6182E+0	21.4915E+3	57.4025E-9	100.434E+0
-24.5419E+0	21.4915E+3	56.1621E-9	101.551E+0
-24.4655E+0	21.4915E+3	57.5818E-9	100.316E+0
-24.3892E+0	21.4915E+3	58.2080E-9	100.956E+0
-24.3128E+0	21.4915E+3	56.7237E-9	100.924E+0
-24.2365E+0	21.4915E+3	56.5833E-9	100.737E+0
-24.1602E+0	21.4915E+3	58.1817E-9	99.7300E+0
-24.0838E+0	21.4915E+3	57.7287E-9	100.323E+0
-24.0075E+0	21.4915E+3	60.3355E-9	100.361E+0
-23.9312E+0	21.4915E+3	60.2160E-9	99.5972E+0
-23.8548E+0	21.4915E+3	61.3514E-9	98.9804E+0
-23.7785E+0	21.4915E+3	61.5396E-9	99.6287E+0
-23.7021E+0	21.4915E+3	60.0026E-9	99.4751E+0
-23.6258E+0	21.4915E+3	61.7844E-9	98.8909E+0
-23.5495E+0	21.4915E+3	62.1149E-9	98.4697E+0
-23.4731E+0	21.4915E+3	63.3029E-9	96.7876E+0
-23.3968E+0	21.4915E+3	62.7115E-9	98.2353E+0
-23.3205E+0	21.4915E+3	63.6763E-9	96.0409E+0
-23.2441E+0	21.4915E+3	64.3386E-9	95.7651E+0
-23.1678E+0	21.4915E+3	65.5733E-9	96.8060E+0
-23.0914E+0	21.4915E+3	64.3201E-9	96.1032E+0
-23.0151E+0	21.4915E+3	65.1158E-9	95.3270E+0
-22.9388E+0	21.4915E+3	66.4691E-9	94.4590E+0
-22.8624E+0	21.4915E+3	66.1559E-9	95.7753E+0
-22.7861E+0	21.4915E+3	65.0756E-9	95.3938E+0
-22.7098E+0	21.4915E+3	65.4663E-9	94.1143E+0
-22.6334E+0	21.4915E+3	67.5394E-9	93.3503E+0
-22.5571E+0	21.4915E+3	68.4863E-9	93.2075E+0
-22.4807E+0	21.4915E+3	69.0784E-9	92.4205E+0
-22.4044E+0	21.4915E+3	66.1254E-9	91.9235E+0
-22.3281E+0	21.4915E+3	69.4020E-9	93.4804E+0
-22.2517E+0	21.4915E+3	69.4613E-9	91.7347E+0
-22.1754E+0	21.4915E+3	69.5501E-9	91.1211E+0
-22.0990E+0	21.4915E+3	70.8400E-9	90.7740E+0
-22.0227E+0	21.4915E+3	69.6357E-9	91.5874E+0
-21.9464E+0	21.4915E+3	72.1022E-9	90.3741E+0
-21.8700E+0	21.4915E+3	69.6411E-9	91.8569E+0
-21.7937E+0	21.4915E+3	69.8548E-9	90.6171E+0
-21.7174E+0	21.4915E+3	70.8785E-9	90.2914E+0
-21.6410E+0	21.4915E+3	72.6767E-9	88.1831E+0
-21.5647E+0	21.4915E+3	74.7238E-9	89.0830E+0
-21.4883E+0	21.4915E+3	76.0776E-9	88.3365E+0
-21.4120E+0	21.4915E+3	71.8198E-9	88.7151E+0
-21.3357E+0	21.4915E+3	75.6751E-9	88.9672E+0
-21.2593E+0	21.4915E+3	77.1233E-9	87.5936E+0
-21.1830E+0	21.4915E+3	76.5925E-9	86.9325E+0
-21.1067E+0	21.4915E+3	72.4146E-9	85.0386E+0
-21.0303E+0	21.4915E+3	78.5213E-9	84.5465E+0
-20.9540E+0	21.4915E+3	76.8301E-9	82.8775E+0
-20.8776E+0	21.4915E+3	76.1926E-9	84.5968E+0
-20.8013E+0	21.4915E+3	77.8476E-9	82.2054E+0
-20.7250E+0	21.4915E+3	76.4741E-9	81.7169E+0
-20.6486E+0	21.4915E+3	78.2864E-9	80.5362E+0
-20.5723E+0	21.4915E+3	78.1907E-9	80.9565E+0
-20.4960E+0	21.4915E+3	80.0197E-9	81.4450E+0
-20.4196E+0	21.4915E+3	80.0133E-9	81.9597E+0
-20.3433E+0	21.4915E+3	76.2079E-9	80.4524E+0
-20.2669E+0	21.4915E+3	80.6158E-9	79.6340E+0
-20.1906E+0	21.4915E+3	77.4461E-9	80.7160E+0
-20.1143E+0	21.4915E+3	80.0800E-9	80.6108E+0
-20.0379E+0	21.4915E+3	81.2085E-9	79.2576E+0
-19.9616E+0	21.4915E+3	80.7660E-9	78.6561E+0
-19.8853E+0	21.4915E+3	81.5816E-9	79.5028E+0
-19.8089E+0	21.4915E+3	81.5271E-9	77.7806E+0
-19.7326E+0	21.4915E+3	82.2973E-9	77.3406E+0
-19.6562E+0	21.4915E+3	81.3936E-9	76.3396E+0
-19.5799E+0	21.4915E+3	82.9926E-9	74.8948E+0
-19.5036E+0	21.4915E+3	82.0943E-9	74.9153E+0
-19.4272E+0	21.4915E+3	81.9053E-9	74.5801E+0
-19.3509E+0	21.4915E+3	82.6989E-9	74.1485E+0
-19.2745E+0	21.4915E+3	84.9532E-9	73.2660E+0
-19.1982E+0	21.4915E+3	83.8566E-9	74.7503E+0
-19.1219E+0	21.4915E+3	84.7726E-9	70.8223E+0
-19.0455E+0	21.4915E+3	84.3871E-9	70.6878E+0
-18.9692E+0	21.4915E+3	83.4679E-9	71.3752E+0
-18.8929E+0	21.4915E+3	82.1727E-9	70.5398E+0
-18.8165E+0	21.4915E+3	86.0740E-9	71.1667E+0
-18.7402E+0	21.4915E+3	84.5281E-9	70.0872E+0
-18.6638E+0	21.4915E+3	83.1938E-9	69.4004E+0
-18.5875E+0	21.4915E+3	84.3611E-9	68.7154E+0
-18.5112E+0	21.4915E+3	85.3161E-9	66.8472E+0
-18.4348E+0	21.4915E+3	86.2096E-9	68.3056E+0
-18.3585E+0	21.4915E+3	84.8567E-9	66.0556E+0
-18.2822E+0	21.4915E+3	86.1881E-9	66.1539E+0
-18.2058E+0	21.4915E+3	86.1501E-9	65.1995E+0
-18.1295E+0	21.4915E+3	85.4515E-9	65.1664E+0
-18.0531E+0	21.4915E+3	88.1620E-9	65.3793E+0
-17.9768E+0	21.4915E+3	86.9742E-9	63.8671E+0
-17.9005E+0	21.4915E+3	86.5385E-9	63.3415E+0
-17.8241E+0	21.4915E+3	86.5298E-9	63.2236E+0
-17.7478E+0	21.4915E+3	87.2014E-9	63.0258E+0
-17.6715E+0	21.4915E+3	87.0789E-9	61.2513E+0
-17.5951E+0	21.4915E+3	85.8641E-9	60.1420E+0
-17.5188E+0	21.4915E+3	88.2419E-9	60.9158E+0
-17.4424E+0	21.4915E+3	85.6415E-9	59.6592E+0
-17.3661E+0	21.4915E+3	87.9873E-9	59.0035E+0
-17.2898E+0	21.4915E+3	86.6099E-9	59.1738E+0
-17.2134E+0	21.4915E+3	87.2430E-9	55.6925E+0
-17.1371E+0	21.4915E+3	87.3330E-9	56.8843E+0
-17.0608E+0	21.4915E+3	86.0848E-9	55.9726E+0
-16.9844E+0	21.4915E+3	85.5986E-9	55.7515E+0
-16.9081E+0	21.4915E+3	86.7316E-9	57.2027E+0
-16.8317E+0	21.4915E+3	87.0150E-9	56.0098E+0
-16.7554E+0	21.4915E+3	87.3754E-9	55.2105E+0
-16.6791E+0	21.4915E+3	86.4525E-9	56.0824E+0
-16.6027E+0	21.4915E+3	85.9794E-9	52.8097E+0
-16.5264E+0	21.4915E+3	86.2928E-9	53.5920E+0
-16.4501E+0	21.4915E+3	86.9786E-9	52.3271E+0
-16.3737E+0	21.4915E+3	85.4420E-9	51.7597E+0
-16.2974E+0	21.4915E+3	85.3636E-9	51.3705E+0
-16.2210E+0	21.4915E+3	86.4077E-9	51.3667E+0
-16.1447E+0	21.4915E+3	86.3319E-9	50.8616E+0
-16.0684E+0	21.4915E+3	86.6842E-9	50.9821E+0
-15.9920E+0	21.4915E+3	86.2265E-9	50.0369E+0
-15.9157E+0	21.4915E+3	86.7049E-9	49.8605E+0
-15.8393E+0	21.4915E+3	85.1130E-9	48.9554E+0
-15.7630E+0	21.4915E+3	85.7079E-9	48.8042E+0
-15.6867E+0	21.4915E+3	85.8573E-9	47.7267E+0
-15.6103E+0	21.4915E+3	85.8450E-9	48.4069E+0
-15.5340E+0	21.4915E+3	84.2225E-9	47.4580E+0
-15.4577E+0	21.4915E+3	82.7963E-9	46.3315E+0
-15.3813E+0	21.4915E+3	85.3486E-9	45.7780E+0
-15.3050E+0	21.4915E+3	84.9041E-9	45.8384E+0
-15.2286E+0	21.4915E+3	83.2962E-9	44.7311E+0
-15.1523E+0	21.4915E+3	83.3568E-9	44.6348E+0
-15.0760E+0	21.4915E+3	82.1244E-9	44.0833E+0
-14.9996E+0	21.4915E+3	83.5701E-9	42.5045E+0
-14.9233E+0	21.4915E+3	82.9070E-9	41.5873E+0
-14.8470E+0	21.4915E+3	81.1993E-9	42.5184E+0
-14.7706E+0	21.4915E+3	80.9833E-9	40.7437E+0
-14.6943E+0	21.4915E+3	82.3696E-9	41.1844E+0
-14.6179E+0	21.4915E+3	82.9156E-9	41.4378E+0
-14.5416E+0	21.4915E+3	81.0837E-9	40.3536E+0
-14.4653E+0	21.4915E+3	80.8944E-9	40.0887E+0
-14.3889E+0	21.4915E+3	80.9258E-9	39.6518E+0
-14.3126E+0	21.4915E+3	81.2173E-9	39.7419E+0
-14.2363E+0	21.4915E+3	79.7501E-9	39.1409E+0
-14.1599E+0	21.4915E+3	79.1070E-9	37.7886E+0
-14.0836E+0	21.4915E+3	80.6331E-9	37.1980E+0
-14.0072E+0	21.4915E+3	79.5064E-9	36.7544E+0
-13.9309E+0	21.4915E+3	79.2248E-9	36.1115E+0
-13.8546E+0	21.4915E+3	78.7434E-9	37.7447E+0
-13.7782E+0	21.4915E+3	74.6976E-9	35.5912E+0
