Experiment	Frequency Sweep	
Date	17.02.2021 13:15:05	
User		
f_res (Hz)	21473,9993	
Q	1762	
Phase (deg)	-126,26	
Amp/Exc (nm/mV)	0,882419	
Number of points	2000	
Fit length	11	

[DATA]
Frequency Shift (Hz)	Center Frequency (Hz)	Amplitude (m)	Phase (deg)
-69.2767E+0	21.4915E+3	14.4715E-9	53.8011E+0
-69.2004E+0	21.4915E+3	14.1882E-9	59.9088E+0
-69.1241E+0	21.4915E+3	14.3435E-9	60.3826E+0
-69.0477E+0	21.4915E+3	14.0583E-9	53.1253E+0
-68.9714E+0	21.4915E+3	15.1501E-9	57.1075E+0
-68.8951E+0	21.4915E+3	15.2015E-9	43.8721E+0
-68.8187E+0	21.4915E+3	14.6397E-9	59.4107E+0
-68.7424E+0	21.4915E+3	14.6584E-9	57.9518E+0
-68.6660E+0	21.4915E+3	14.5261E-9	56.9269E+0
-68.5897E+0	21.4915E+3	14.2087E-9	59.1064E+0
-68.5134E+0	21.4915E+3	13.5685E-9	55.2884E+0
-68.4370E+0	21.4915E+3	14.5062E-9	56.0898E+0
-68.3607E+0	21.4915E+3	13.7020E-9	57.4488E+0
-68.2843E+0	21.4915E+3	14.4825E-9	60.1357E+0
-68.2080E+0	21.4915E+3	14.2375E-9	62.2074E+0
-68.1317E+0	21.4915E+3	14.3893E-9	57.0216E+0
-68.0553E+0	21.4915E+3	14.1308E-9	56.6780E+0
-67.9790E+0	21.4915E+3	14.1366E-9	56.4597E+0
-67.9026E+0	21.4915E+3	14.0352E-9	57.6458E+0
-67.8263E+0	21.4915E+3	13.8641E-9	55.4683E+0
-67.7500E+0	21.4915E+3	13.9021E-9	54.4693E+0
-67.6736E+0	21.4915E+3	13.5645E-9	56.5266E+0
-67.5973E+0	21.4915E+3	15.1637E-9	60.0230E+0
-67.5209E+0	21.4915E+3	14.7751E-9	52.0216E+0
-67.4446E+0	21.4915E+3	14.7984E-9	55.3415E+0
-67.3683E+0	21.4915E+3	15.0459E-9	59.3751E+0
-67.2919E+0	21.4915E+3	14.9900E-9	64.0116E+0
-67.2156E+0	21.4915E+3	13.5821E-9	60.8597E+0
-67.1392E+0	21.4915E+3	14.7473E-9	59.2117E+0
-67.0629E+0	21.4915E+3	13.2069E-9	58.4226E+0
-66.9866E+0	21.4915E+3	14.7784E-9	56.9415E+0
-66.9102E+0	21.4915E+3	14.3574E-9	58.6900E+0
-66.8339E+0	21.4915E+3	13.6515E-9	51.6791E+0
-66.7575E+0	21.4915E+3	14.1331E-9	58.4371E+0
-66.6812E+0	21.4915E+3	14.8428E-9	56.2234E+0
-66.6049E+0	21.4915E+3	14.0310E-9	61.4832E+0
-66.5285E+0	21.4915E+3	13.8557E-9	60.2939E+0
-66.4522E+0	21.4915E+3	13.8465E-9	59.5788E+0
-66.3758E+0	21.4915E+3	14.1496E-9	58.2948E+0
-66.2995E+0	21.4915E+3	15.1114E-9	56.2055E+0
-66.2232E+0	21.4915E+3	14.8468E-9	59.7628E+0
-66.1468E+0	21.4915E+3	13.7045E-9	61.1386E+0
-66.0705E+0	21.4915E+3	14.8917E-9	57.4799E+0
-65.9941E+0	21.4915E+3	13.8390E-9	50.0212E+0
-65.9178E+0	21.4915E+3	13.7781E-9	60.7379E+0
-65.8415E+0	21.4915E+3	13.4953E-9	58.8327E+0
-65.7651E+0	21.4915E+3	14.5355E-9	53.1884E+0
-65.6888E+0	21.4915E+3	14.9914E-9	54.2033E+0
-65.6124E+0	21.4915E+3	14.1171E-9	56.8508E+0
-65.5361E+0	21.4915E+3	14.0414E-9	57.2980E+0
-65.4598E+0	21.4915E+3	14.1558E-9	58.8867E+0
-65.3834E+0	21.4915E+3	13.6515E-9	58.2525E+0
-65.3071E+0	21.4915E+3	13.8124E-9	56.0861E+0
-65.2307E+0	21.4915E+3	14.5551E-9	60.1949E+0
-65.1544E+0	21.4915E+3	14.2349E-9	59.6207E+0
-65.0781E+0	21.4915E+3	14.8241E-9	53.8934E+0
-65.0017E+0	21.4915E+3	13.2956E-9	61.1962E+0
-64.9254E+0	21.4915E+3	14.2030E-9	65.1238E+0
-64.8490E+0	21.4915E+3	13.5531E-9	60.7515E+0
-64.7727E+0	21.4915E+3	14.5699E-9	69.0974E+0
-64.6964E+0	21.4915E+3	14.8270E-9	60.6851E+0
-64.6200E+0	21.4915E+3	14.6475E-9	59.3613E+0
-64.5437E+0	21.4915E+3	14.1090E-9	64.0460E+0
-64.4673E+0	21.4915E+3	13.9178E-9	57.6324E+0
-64.3910E+0	21.4915E+3	14.3057E-9	57.0636E+0
-64.3147E+0	21.4915E+3	13.5986E-9	59.2066E+0
-64.2383E+0	21.4915E+3	14.5642E-9	59.7510E+0
-64.1620E+0	21.4915E+3	14.0258E-9	62.4879E+0
-64.0856E+0	21.4915E+3	14.3570E-9	59.4107E+0
-64.0093E+0	21.4915E+3	14.9398E-9	62.7698E+0
-63.9330E+0	21.4915E+3	14.1011E-9	61.2683E+0
-63.8566E+0	21.4915E+3	14.8050E-9	60.9703E+0
-63.7803E+0	21.4915E+3	15.1074E-9	59.9876E+0
-63.7039E+0	21.4915E+3	15.0219E-9	61.5612E+0
-63.6276E+0	21.4915E+3	13.7911E-9	58.3540E+0
-63.5513E+0	21.4915E+3	12.7305E-9	61.8870E+0
-63.4749E+0	21.4915E+3	14.3273E-9	66.7781E+0
-63.3986E+0	21.4915E+3	14.9714E-9	60.6349E+0
-63.3223E+0	21.4915E+3	13.6472E-9	59.0704E+0
-63.2459E+0	21.4915E+3	13.5402E-9	59.0952E+0
-63.1696E+0	21.4915E+3	13.7555E-9	60.6276E+0
-63.0932E+0	21.4915E+3	14.1557E-9	64.5033E+0
-63.0169E+0	21.4915E+3	14.2837E-9	61.0395E+0
-62.9406E+0	21.4915E+3	15.0648E-9	59.3894E+0
-62.8642E+0	21.4915E+3	14.9228E-9	68.2433E+0
-62.7879E+0	21.4915E+3	13.9171E-9	60.8698E+0
-62.7115E+0	21.4915E+3	14.6177E-9	61.4970E+0
-62.6352E+0	21.4915E+3	13.2113E-9	65.0743E+0
-62.5589E+0	21.4915E+3	14.6077E-9	63.0678E+0
-62.4825E+0	21.4915E+3	14.7336E-9	64.6556E+0
-62.4062E+0	21.4915E+3	14.0623E-9	60.5447E+0
-62.3298E+0	21.4915E+3	13.9838E-9	59.7324E+0
-62.2535E+0	21.4915E+3	14.8694E-9	60.2022E+0
-62.1772E+0	21.4915E+3	14.2242E-9	69.2052E+0
-62.1008E+0	21.4915E+3	13.3627E-9	62.1430E+0
-62.0245E+0	21.4915E+3	14.1700E-9	60.9904E+0
-61.9481E+0	21.4915E+3	14.4469E-9	62.8016E+0
-61.8718E+0	21.4915E+3	14.6743E-9	62.8924E+0
-61.7955E+0	21.4915E+3	14.3485E-9	62.8276E+0
-61.7191E+0	21.4915E+3	14.8849E-9	59.3707E+0
-61.6428E+0	21.4915E+3	13.8819E-9	55.7325E+0
-61.5664E+0	21.4915E+3	14.2794E-9	62.5587E+0
-61.4901E+0	21.4915E+3	14.0459E-9	61.4215E+0
-61.4138E+0	21.4915E+3	13.3227E-9	59.2128E+0
-61.3374E+0	21.4915E+3	13.7690E-9	60.2300E+0
-61.2611E+0	21.4915E+3	14.8024E-9	66.0805E+0
-61.1847E+0	21.4915E+3	15.3081E-9	57.8065E+0
-61.1084E+0	21.4915E+3	13.8803E-9	64.1356E+0
-61.0321E+0	21.4915E+3	13.9778E-9	64.4202E+0
-60.9557E+0	21.4915E+3	14.1371E-9	64.2329E+0
-60.8794E+0	21.4915E+3	14.5706E-9	62.4245E+0
-60.8030E+0	21.4915E+3	13.7662E-9	62.4571E+0
-60.7267E+0	21.4915E+3	13.6632E-9	63.9082E+0
-60.6504E+0	21.4915E+3	14.6648E-9	62.1128E+0
-60.5740E+0	21.4915E+3	14.1593E-9	67.4088E+0
-60.4977E+0	21.4915E+3	14.9464E-9	68.9683E+0
-60.4213E+0	21.4915E+3	15.1420E-9	65.5469E+0
-60.3450E+0	21.4915E+3	14.3423E-9	65.2595E+0
-60.2687E+0	21.4915E+3	13.7714E-9	63.4295E+0
-60.1923E+0	21.4915E+3	13.6690E-9	63.5421E+0
-60.1160E+0	21.4915E+3	14.0420E-9	65.2271E+0
-60.0396E+0	21.4915E+3	14.4774E-9	72.9513E+0
-59.9633E+0	21.4915E+3	15.2275E-9	64.6257E+0
-59.8870E+0	21.4915E+3	14.7274E-9	59.5265E+0
-59.8106E+0	21.4915E+3	14.8161E-9	63.2484E+0
-59.7343E+0	21.4915E+3	13.9960E-9	73.4920E+0
-59.6579E+0	21.4915E+3	13.8088E-9	64.7032E+0
-59.5816E+0	21.4915E+3	14.1812E-9	60.8464E+0
-59.5053E+0	21.4915E+3	14.0825E-9	68.1727E+0
-59.4289E+0	21.4915E+3	14.5933E-9	60.7702E+0
